name,price,bedrooms,bathrooms,sqr,distance,BER,type
3523579,"€1,900 per month",1 Bed,1 Bath,N/A,3.306241610781172,A3,['To Let']
3523582,"€2,250 per month",2 Bed,2 Bath,N/A,3.306241610781172,A3,['To Let']
3523581,"€3,045 per month",3 Bed,3 Bath,N/A,3.306241610781172,A3,['To Let']
2607782,"€3,300 per month",2 Bed,2 Bath,N/A,1.563603950608259,A2,['To Let']
2915605,"€4,200 per month",2 Bed,2 Bath,N/A,1.563603950608259,A2,['To Let']
2915549,"€4,230 per month",3 Bed,2 Bath,N/A,1.563603950608259,A2,['To Let']
1481753,"€4,300 per month",2 Bed,2 Bath,N/A,1.563603950608259,A2,['To Let']
3260044,"€15,000 per month",2 Bed,3 Bath,N/A,1.563603950608259,A3,['To Let']
2854091,"€2,500 per month",1 Bed,1 Bath,N/A,1.476051806284783,A3,['To Let']
1446984,"€3,245 per month",2 Bed,2 Bath,N/A,1.476051806284783,A3,['To Let']
2569623,"€3,575 per month",2 Bed,2 Bath,N/A,1.476051806284783,A3,['To Let']
2569627,"€5,030 per month",3 Bed,3 Bath,N/A,1.476051806284783,A3,['To Let']
3488704,"€2,000 per month",1 Bed,1 Bath,N/A,7.1069136584293675,A2,['To Let']
3488706,"€2,335 per month",2 Bed,2 Bath,N/A,7.1069136584293675,A2,['To Let']
3488720,"€2,850 per month",3 Bed,2 Bath,N/A,7.1069136584293675,A2,['To Let']
3547529,"€2,000 per month",1 Bed,1 Bath,N/A,4.039360838640577,A2,['To Let']
3547527,"€2,400 per month",2 Bed,2 Bath,N/A,4.039360838640577,A2,['To Let']
3547528,"€3,200 per month",3 Bed,2 Bath,N/A,4.039360838640577,A2,['To Let']
3581864,"€2,450 per month",1 Bed,1 Bath,N/A,1.3732969136458906,A2,['To Let']
3581865,"€2,900 per month",2 Bed,2 Bath,N/A,1.3732969136458906,A2,['To Let']
3581866,"€3,900 per month",3 Bed,2 Bath,N/A,1.3732969136458906,A2,['To Let']
3217502,"€3,150 per month",2 Bed,2 Bath,N/A,1.3120090514747347,A2,['To Let']
1442730,"€3,572 per month",2 Bed,2 Bath,N/A,1.3120090514747347,A3,['To Let']
1442731,"€4,000 per month",2 Bed,2 Bath,N/A,1.3120090514747347,A2,['To Let']
3217494,"€4,200 per month",3 Bed,2 Bath,N/A,1.3120090514747347,A2,['To Let']
2495659,"€6,000 per month",3 Bed,3 Bath,N/A,1.3120090514747347,A1,['To Let']
3593255,"€1,900 per month",1 Bed,1 Bath,N/A,12.890707858440878,C2,['To Let']
3594452,"€2,500 per month",2 Bed,1 Bath,N/A,12.890707858440878,C1,['To Let']
2929971,"€2,450 per month",1 Bed,1 Bath,N/A,0.6557455626080313,B1,['To Let']
2287914,"€1,750 per month",1 Bed,1 Bath,N/A,1.6783743810137752,C2,['To Let']
3610158,"€1,750 per month",1 Bed,2 Bath,N/A,12.226595992257778,A3,['To Let']
3610160,"€2,150 per month",2 Bed,2 Bath,N/A,12.226595992257778,A3,['To Let']
2492338,"€2,600 per month",3 Bed,1 Bath,N/A,1.6154888681520143,B2,['To Let']
3481197,"€2,000 per month",1 Bed,1 Bath,N/A,2.5337228978363875,A3,['To Let']
3481198,"€2,325 per month",2 Bed,2 Bath,N/A,2.5337228978363875,A3,['To Let']
3481194,"€3,000 per month",3 Bed,2 Bath,N/A,2.5337228978363875,A3,['To Let']
2330159,"€1,900 per month",1 Bed,1 Bath,N/A,8.862153458172559,B2,['To Let']
2507179,"€2,450 per month",2 Bed,2 Bath,N/A,8.862153458172559,B2,['To Let']
3599262,"€1,950 per month",2 Bed,2 Bath,N/A,10.864433445154994,A1,['To Let']
2481832,"€3,000 per month",2 Bed,2 Bath,N/A,1.0636937146762915,C3,['To Let']
2844191,"€6,000 per month",3 Bed,3 Bath,N/A,1.0636937146762915,NA,['To Let']
